name,player_id,DMA_name,DMA_code
Arizona Cardinals,/m/0ws7,PHOENIX (PRESCOTT) (753),US-AZ-753
Atlanta Falcons,/m/0wsr,ATLANTA (524),US-GA-524
Baltimore Ravens,/m/01ct6,BALTIMORE (512),US-MD-512
Buffalo Bills,/m/01c_d,BUFFALO (514),US-NY-514
Carolina Panthers,/m/01y3c,CHARLOTTE (517),US-NC-517
Chicago Bears,/m/01y3v,CHICAGO (602),US-IL-602
Cincinnati Bengals,/m/01y49,CINCINNATI (515),US-OH-515
Cleveland Browns,/m/01xvb,CLEVELAND-AKRON (CANTON) (510),US-OH-510
Dallas Cowboys,/m/02896,DALLAS-FT. WORTH (623),US-TX-623
Denver Broncos,/m/0289q,DENVER (751),US-CO-751
Detroit Lions,/m/02c_4,DETROIT (505),US-MI-505
Green Bay Packers,/m/03b3j,GREEN BAY-APPLETON (658),US-WI-658
Houston Texans,/m/03lsq,HOUSTON (618),US-TX-618
Indianapolis Colts,/m/03wnh,INDIANAPOLIS (527),US-IN-527
Jacksonville Jaguars,/m/043vc,JACKSONVILLE (561),US-FL-561
Kansas City Chiefs,/m/0487_,KANSAS CITY (616),US-MO-616
Los Angeles Chargers,/m/06rpd,LOS ANGELES (803),US-CA-803
Los Angeles Rams,/m/06x76,LOS ANGELES (803),US-CA-803
Miami Dolphins,/m/04vn5,MIAMI-FT. LAUDERDALE (528),US-FL-528
Minnesota Vikings,/m/051q5,MINNEAPOLIS-ST. PAUL (613),US-MN-613
New England Patriots,/m/05g3b,BOSTON (MANCHESTER) (506),US-MA-506
New Orleans Saints,/m/05g3v,NEW ORLEANS (622),US-LA-622
New York Giants,/m/05gg4,NEW YORK (501),US-NY-501
New York Jets,/m/05g49,NEW YORK (501),US-NY-501
Las Vegas Raiders,/m/05l71,LAS VEGAS (839),US-NV-839
Philadelphia Eagles,/m/05tg3,PHILADELPHIA (504),US-PA-504
Pittsburgh Steelers,/m/05tfm,PITTSBURGH (508),US-PA-508
San Francisco 49ers,/m/06rny,SAN FRANCISCO-OAK-SAN JOSE (807),US-CA-807
Seattle Seahawks,/m/070xg,SEATTLE-TACOMA (819),US-WA-819
Tampa Bay Buccaneers,/m/07l24,TAMPA-ST. PETE (SARASOTA) (539),US-FL-539
Tennessee Titans,/m/07l2m,NASHVILLE (659),US-TN-659
Washington Football Team,/m/084l5,WASHINGTON DC (HAGRSTWN) (511),US-MD-511
